,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
923,James VI and I,Male,"James VI and I (James Charles Stuart; 19 June 1566 – 27 March 1625) was King of Scotland as James VI from 24 July 1567 and King of England and Ireland as James I from the union of the Scottish and English crowns on 24 March 1603 until his death in 1625. The kingdoms of Scotland and England were individual sovereign states, with their own parliaments, judiciaries, and laws, though both were ruled by James in personal union.",Success,None,None
924,James II of England,Male,"James II and VII (14 October 1633O.S. – 16 September 1701[1]) was  King of England and Ireland as James II and King of Scotland as James VII,[3] from 6 February 1685 until he was deposed in the Glorious Revolution of 1688. The last Roman Catholic monarch of England, Scotland and Ireland, his reign is now remembered primarily for struggles over religious tolerance. However, it also involved the principles of absolutism and divine right of kings and his deposition ended a century of political and civil strife by confirming the primacy of Parliament over the Crown.[4] ",Success,1633,None
925,Abdul Karim (the Munshi),Male,"Mohammed Abdul Karim CIE CVO (1863 – April 1909), known as ""the Munshi"", was an Indian attendant of Queen Victoria.  He served her during the final fourteen years of her reign, gaining her maternal affection over that time.",Success,None,None
926,"John, King of England",Male,"This article is about the King of England. For the play by William Shakespeare, see King John (play).",Success,None,None
927,Nikolai Kulikovsky,Male,"Nikolai Alexandrovich Kulikovsky[2] (5 November 1881 – 11 August 1958) was the second husband of Grand Duchess Olga Alexandrovna of Russia, the sister of Tsar Nicholas II and daughter of Tsar Alexander III.",Success,1881,1958
928,Prince Sadruddin Aga Khan,Male,"Prince Sadruddin Aga Khan, KBE, KCSS (Arabic: صدرالّدين آغا خان‎, Ṣadr ad-Dīn Āghā Khān, 17 January 1933 – 12 May 2003) served as United Nations High Commissioner for Refugees from 1966 to 1977, during which he reoriented the agency's focus beyond Europe and prepared it for an explosion of complex refugee issues. He was also a proponent of greater collaboration between non-governmental organizations (NGOs) and UN agencies. The Prince's interest in ecological issues led him to establish the Bellerive Foundation in the late 1970s, and he was a knowledgeable and respected collector of Islamic art.",Success,1933,2003
929,"Princess Louise, Duchess of Argyll",Female,"Princess Louise, Duchess of Argyll, VA, CI, GCVO, GBE, RRC, GCStJ (Louisa Caroline Alberta; 18 March 1848 – 3 December 1939) was the sixth child and fourth daughter of Queen Victoria and Prince Albert. In her public life, she was a strong proponent of the arts and higher education and of the feminist cause.  Her early life was spent moving among the various royal residences in the company of her family. When her father, the prince consort, died on 14 December 1861, the court went into a long period of mourning, to which with time Louise became unsympathetic. Louise was an able sculptor and artist, and several of her sculptures remain today. She was also a supporter of the feminist movement, corresponding with Josephine Butler, and visiting Elizabeth Garrett.",Success,1848,1939
930,"John Bingham, 7th Earl of Lucan",Male,"""Lord Lucan"" redirects here. For other holders of the title, see Earl of Lucan. For the current Lord Lucan, see George Bingham, 8th Earl of Lucan.",Success,None,None
931,Manuel I Komnenos,Male,"Manuel I Komnenos (or Comnenus; Greek: Μανουήλ Α' Κομνηνός, Manouēl I Komnēnos; 28 November 1118 – 24 September 1180) was a Byzantine Emperor of the 12th century who reigned over a crucial turning point in the history of Byzantium and the Mediterranean. His reign saw the last flowering of the Komnenian restoration, during which the Byzantine Empire had seen a resurgence of its military and economic power, and had enjoyed a cultural revival.",Success,1118,None
932,Princess Maria Amélia of Brazil,Female,"Dona Maria Amélia (1 December 1831 – 4 February 1853) was a princess of the Empire of Brazil and a member of the Brazilian branch of the House of Braganza. Her parents were Emperor Dom Pedro I, the first ruler of Brazil, and Amélie of Leuchtenberg. The only child of her father's second marriage, Maria Amélia was born in France after Pedro I abdicated the Brazilian throne in favor of his son Dom Pedro II. Before Maria Amélia was a month old, Pedro I went to Portugal to restore the crown of the eldest daughter of his first marriage, Dona Maria II. He fought a successful war against his brother Miguel I, who had usurped Maria II's throne.",Success,1831,1853
933,Marwan I,Male,"Marwan ibn al-Hakam ibn Abi al-As ibn Umayya (Arabic: مروان بن الحكم بن أبي العاص بن أمية‎, romanized: Marwān ibn al-Ḥakam ibn Abī al-ʿAs ibn Umayya), commonly known as Marwan I (ca. 623–626 – April/May 685) was the fourth Umayyad caliph, ruling for less than a year in 684–685. He founded the Marwanid ruling house of the Umayyad dynasty, which replaced the Sufyanid house after its collapse in the Second Muslim Civil War and remained in power until 750. ",Success,None,None
934,Mary of Teck,Female,"This article is about the queen consort of the United Kingdom. For her niece, Princess May of Teck, see Lady May Abel Smith.",Success,1867,1953
935,Mary II of England,Female,"Mary II (30 April 1662 – 28 December 1694) was Queen of England, Scotland, and Ireland, co-reigning with her husband, King William III & II, from 1689 until her death. Popular histories usually refer to their joint reign as that of William and Mary. ",Success,1662,1694
936,"Mary, Queen of Scots",Female,"Mary, Queen of Scots (8 December 1542 – 8 February 1587), also known as Mary Stuart[3] or Mary I of Scotland, reigned over Scotland from 14 December 1542 to 24 July 1567.",Success,1542,None
937,Empress Matilda,Female,"Empress Matilda (c. 7 February 1102 – 10 September 1167), also known as the Empress Maude,[nb 1] was one of the claimants to the English throne during the civil war known as the Anarchy. The daughter of King Henry I of England, she moved to Germany as a child when she married the future Holy Roman Emperor Henry V. She travelled with her husband into Italy in 1116, was controversially crowned in St. Peter's Basilica, and acted as the imperial regent in Italy. Matilda and Henry V had no children, and when he died in 1125, the imperial crown was claimed by his rival Lothair of Supplinburg.",Success,1102,1167
938,Maximian,Male,"Maximian (Latin: Marcus Aurelius Valerius Maximianus Herculius Augustus;[9] c. 250 – c. July 310) was Roman Emperor from 286 to 305. He was Caesar[1][2] from 285 to 286, then Augustus from 286[3] to 305.[4] He shared the latter title with his co-emperor and superior, Diocletian, whose political brain complemented Maximian's military brawn. Maximian established his residence at Trier but spent most of his time on campaign. In late 285, he suppressed rebels in Gaul known as the Bagaudae. From 285 to 288, he fought against Germanic tribes along the Rhine frontier. Together with Diocletian, he launched a scorched earth campaign deep into Alamannic territory in 288, temporarily relieving the Rhine provinces from the threat of Germanic invasion.",Success,None,None
939,Catherine de' Medici,Female,"Catherine de' Medici (Italian: Caterina de Medici, pronounced [kateˈriːna de ˈmɛːditʃi]; French: Catherine de Médicis, pronounced [katʁin də medisis]; 13 April 1519 – 5 January 1589), daughter of Lorenzo II de' Medici and Madeleine de La Tour d'Auvergne, was an Italian noblewoman who was queen of France from 1547 until 1559, by marriage to King Henry II. As the mother of kings Francis II, Charles IX and Henry III, she had extensive, if at times varying, influence in the political life of France. From 1560 to 1563, she ruled France as regent for her son Charles IX, King of France.",Success,1519,None
940,"John Mowbray, 3rd Duke of Norfolk",Male,"John Mowbray, 3rd Duke of Norfolk, KG, Earl Marshal (12 September 1415 – 6 November 1461) was a fifteenth-century English magnate who, despite having a relatively short political career, played a significant role in the early years of the Wars of the Roses. Mowbray was born in 1415, the only son and heir of John de Mowbray, 2nd Duke of Norfolk, and Katherine Neville. He inherited his titles upon his father's death in 1432. As a minor he became a ward of King Henry VI and was placed under the protection of Humphrey, Duke of Gloucester, alongside whom Mowbray would later campaign in France. He seems to have had an unruly and rebellious youth. Although the details of his misconducts are unknown, they were severe enough for the King to place strictures upon him and separate him from his followers. Mowbray's early career was spent in the military, where he held the wartime office of Earl Marshal.[note 1] Later he led the defence of England's possessions in Normandy during the Hundred Years' War. He fought in Calais in 1436, and during 1437–38 served as warden of the east march on the Anglo-Scottish border, before returning to Calais.",Success,1415,1461
941,Muhammad I of Granada,Male,"Abu Abdullah Muhammad ibn Yusuf ibn Nasr (1195 – 22 January 1273), also known as Ibn al-Aḥmar (Arabic: ابن الأحمر‎) and by his epithet al-Ghalib billah (""The Victor by the Grace of God""),[2][3] was the first ruler of the Emirate of Granada, the last independent Muslim state on the Iberian Peninsula, and the founder of its ruling Nasrid dynasty. He lived during a time when Iberia's Christian kingdoms—especially Portugal, Castile and Aragon—were expanding at the expense of the Islamic territory in Iberia, called Al-Andalus. Muhammad ibn Yusuf took power in his native Arjona in 1232 when he rebelled against the de facto leader of Al-Andalus, Ibn Hud.  During this rebellion, he was able to take control of Córdoba and Seville briefly, before he lost both cities to Ibn Hud. Forced to acknowledge Ibn Hud's suzerainty, Muhammad was able to retain Arjona and Jaén. In 1236, he betrayed Ibn Hud by helping Ferdinand III of Castile take Córdoba. In the years that followed, Muhammad was able to gain control over the southern cities, including Granada (1237), Almería (1238) and Málaga (1239). In 1244, he lost Arjona to Castile. Two years later, in 1246, he agreed to surrender Jaén and accept Ferdinand's overlordship in exchange for peace.",Success,None,None
942,Muhammad II of Granada,Male,"Muhammad II (also known by the epithet al-Faqih, ""the canon-lawyer"" (c. 1235 – 8 April 1302) reigned from 1273 until his death, was the second Nasrid ruler of the Emirate of Granada in Al-Andalus on the Iberian Peninsula, succeeding his father Muhammad I. Already experienced in matters of state when he ascended the throne, he continued his father's policy of maintaining independence in the face of Granada's larger neighbours, the Christian kingdom of Castile and Muslim Marinid state of Morocco, as well as an internal rebellion by his family's former allies, the Banu Ashqilula.",Success,None,None
943,Muhammad III of Granada,Male,"Muhammad III (16 August 1257 – 21 January 1314) was the ruler of the Emirate of Granada in Al-Andalus on the Iberian Peninsula from 8 April 1302 until 14 March 1309, and a member of the Nasrid dynasty. He ascended the Granadan sultan's throne after the death of his father Muhammad II, which according to rumours was caused by Muhammad III poisoning him. He had the reputation of being both cultured and cruel. Later in his life, he became visually handicapped, which caused him to be absent from many government activities and rely on high officials, especially the powerful Vizier Ibn al-Hakim al-Rundi.",Success,None,None
944,Muhammad ibn Tughj al-Ikhshid,Male,"Abū Bakr Muḥammad ibn Ṭughj ibn Juff ibn Yiltakīn ibn Fūrān ibn Fūrī ibn Khāqān (8 February 882 – 24 July 946), better known by the title al-Ikhshīd (Arabic: الإخشيد‎) after 939, was an Abbasid commander and governor who became the autonomous ruler of Egypt and parts of Syria (or Levant) from 935 until his death in 946. He was the founder of the Sunni Ikhshidid dynasty, which ruled the region until the Fatimid conquest of 969.",Success,None,None
945,Al-Mu'tadid,Male,"Abu'l-Abbas Ahmad ibn Talha al-Muwaffaq (Arabic: أبو العباس أحمد بن طلحة الموفق‎, romanized: Abū al-ʿAbbās Aḥmad ibn Ṭalḥa al-Muwaffaq; 853/4 or 860/1 – 5 April 902), better known by his regnal name al-Mu'tadid bi-llah (Arabic: المعتضد بالله‎, ""Seeking Support in God""[1]), was the Caliph of the Abbasid Caliphate from 892 until his death in 902.",Success,None,None
946,Neferefre,Male,"Neferefre Isi (also known as Raneferef, Ranefer and in Greek as Cherês, Χέρης)  was an ancient Egyptian pharaoh, likely the fourth but also possibly the fifth ruler of the Fifth Dynasty during the Old Kingdom period. He was very probably the eldest son of pharaoh Neferirkare Kakai and queen Khentkaus II,  known as prince Ranefer before he ascended the throne.",Success,None,None
947,Neferirkare Kakai,Male,"Neferirkare Kakai (known in Greek as Nefercherês, Νεφερχέρης) was an ancient Egyptian pharaoh, the third king of the Fifth Dynasty. Neferirkare, the eldest son of Sahure with his consort Meretnebty, was known as Ranefer A before he came to the throne. He acceded the day after his father's death and reigned for eight to eleven years, sometime in the early to mid-25th century BCE. He was himself very likely succeeded by his eldest son, born of his queen Khentkaus II, the prince Ranefer B who would take the throne as king Neferefre. Neferirkare fathered another pharaoh, Nyuserre Ini, who took the throne after Neferefre's short reign and the brief rule of the poorly known Shepseskare.",Success,None,None
948,Nyuserre Ini,Male,"Nyuserre Ini (also Niuserre Ini or Neuserre Ini; in Greek known as Rathurês, ´Ραθούρης) was an Ancient Egyptian pharaoh, the sixth ruler of the Fifth Dynasty during the Old Kingdom period. He is credited with a reign of 24 to 35 years depending on the scholar, and likely lived in the second half of the 25th century BCE. Nyuserre was the younger son of Neferirkare Kakai and queen Khentkaus II, and the brother of the short-lived king Neferefre. He may have succeeded his brother directly, as indicated by much later historical sources. Alternatively, Shepseskare may have reigned between the two as advocated by Miroslav Verner, albeit only for a few weeks or months at the most. The relation of Shepseskare with Neferefre and Nyuserre remains highly uncertain. Nyuserre was in turn succeeded by Menkauhor Kaiu, who could have been his nephew and a son of Neferefre.",Success,None,None
949,Odaenathus,Male,"Septimius Odaenathus (Palmyrene:  ['Dynt (Odainat)]; Arabic: أذينة‎ [Uḏaina]; c. 220 – 267 AD) was the founder king (Mlk) of the Palmyrene Kingdom who ruled from Palmyra, Syria. He lifted the status of his city from that of a regional center subordinate to Rome to the supreme power in the east. Odaenathus was born into an aristocratic Palmyrene family that had received Roman citizenship in the 190s under the Severan dynasty. He was the son of Hairan, the descendant of Nasor. The circumstances surrounding his rise are ambiguous; he became the lord (ras) of the city, a position created for him, as early as the 240s and by 258, he was styled a consularis, indicating a high status in the Roman Empire.",Success,None,None
950,Óengus I,Male,"Óengus son of Fergus (Pictish: *Onuist map Vurguist;[a] Old Irish: Óengus mac Fergusso, ""Angus son of Fergus""), was king of Picts from 732 until his death in 761. His reign can be reconstructed in some detail from a variety of sources. The unprecedented gains he made and the legacy he left, mean Óengus can be considered the first king of what would become Scotland.",Success,None,None
951,Offa of Mercia,Male,"Offa was King of Mercia, a kingdom of Anglo-Saxon England, from 757 until his death in July 796. The son of Thingfrith and a descendant of Eowa, Offa came to the throne after a period of civil war following the assassination of Æthelbald. Offa defeated the other claimant, Beornred. In the early years of Offa's reign, it is likely that he consolidated his control of Midland peoples such as the Hwicce and the Magonsæte. Taking advantage of instability in the kingdom of Kent to establish himself as overlord, Offa also controlled Sussex by 771, though his authority did not remain unchallenged in either territory. In the 780s he extended Mercian Supremacy over most of southern England, allying with Beorhtric of Wessex, who married Offa's daughter Eadburh, and regained complete control of the southeast. He also became the overlord of East Anglia and had King Æthelberht II of East Anglia beheaded in 794, perhaps for rebelling against him.",Success,None,None
952,Grand Duchess Olga Alexandrovna of Russia,Female,Grand Duchess Olga Alexandrovna of Russia (Russian: О́льга Алекса́ндровна; 13 June [O.S. 1 June] 1882 – 24 November 1960) was the youngest child of Emperor Alexander III of Russia and younger sister of Emperor Nicholas II.,Success,1882,1960
953,Grand Duchess Olga Nikolaevna of Russia,Female,"Grand Duchess Olga Nikolaevna of Russia (Olga Nikolaevna Romanova) (Russian: Великая Княжна Ольга Николаевна, IPA: [vʲɪˈlʲikəjə knʲɪˈʐna ˈolʲɡə nʲɪkɐˈlaɪvnə] (listen) (Velikaya Knyazhna Ol'ga Nikolaevna); 15 November [O.S. 3 November] 1895 – 17 July 1918) was the eldest child of the last Tsar of the Russian Empire, Emperor Nicholas II, and of Empress Alexandra of Russia.",Success,1895,1918
954,Pedro I of Brazil,Male,"Dom Pedro I (English: Peter I; 12 October 1798 – 24 September 1834), nicknamed ""the Liberator"", was the founder and first ruler of the Empire of Brazil. As King Dom Pedro IV, he reigned briefly over Portugal, where he also became known as ""the Liberator"" as well as ""the Soldier King"".[A] Born in Lisbon, Pedro I was the fourth child of King Dom João VI of Portugal and Queen Carlota Joaquina, and thus a member of the House of Braganza. When the country was invaded by French troops in 1807, he and his family fled to Portugal's largest and wealthiest colony, Brazil.",Success,1807,None
955,Pedro II of Brazil,Male,"Dom Pedro II (English: Peter II; 2 December 1825 – 5 December 1891), nicknamed ""the Magnanimous"",[1] was the second and last monarch of the Empire of Brazil, reigning for over 58 years.[A] He was born in Rio de Janeiro, the seventh child of Emperor Dom Pedro I of Brazil and Empress Dona Maria Leopoldina and thus a member of the Brazilian branch of the House of Braganza. His father's abrupt abdication and departure to Europe in 1831 left the five year-old as Emperor and led to a grim and lonely childhood and adolescence, obliged to spend his time studying in preparation for rule. He knew only brief moments of happiness and encountered few friends of his age. His experiences with court intrigues and political disputes during this period greatly affected his later character; he grew into a man with a strong sense of duty and devotion toward his country and his people, yet increasingly resentful of his role as monarch.",Success,1825,None
956,Penda of Mercia,Male,"Penda (died 15 November 655)[1] was a 7th-century King of Mercia, the Anglo-Saxon kingdom in what is today the English Midlands. A pagan at a time when Christianity was taking hold in many of the Anglo-Saxon kingdoms, Penda took over the Severn Valley in 628 following the Battle of Cirencester before participating in the defeat of the powerful Northumbrian king Edwin at the Battle of Hatfield Chase in 633.[2]",Success,None,None
957,Philip I Philadelphus,Male,"Philip I Epiphanes Philadelphus (Greek: Φίλιππος Ἐπιφανής Φιλάδελφος; between 124 and 109 BC – 83 or 75 BC) was a Hellenistic Seleucid monarch who reigned as the King of Syria from 94 to either 83 or 75 BC. The son of Antiochus VIII and his wife Tryphaena, he spent his early life in a period of civil war between his father and his uncle Antiochus IX. The conflict ended with the assassination of Antiochus VIII and a quick succession in the Syrian capital Antioch of Antiochus IX then Antiochus VIII's eldest son Seleucus VI.",Success,None,None
958,"Hannah Primrose, Countess of Rosebery",Female,"Hannah Primrose, Countess of Rosebery (née de Rothschild; 27 July 1851 – 19 November 1890) was the daughter of Baron Mayer de Rothschild and his wife Juliana (née Cohen). After inheriting her father's fortune in 1874, she became the richest woman in Britain. In 1878, Hannah de Rothschild married Archibald Primrose, 5th Earl of Rosebery, and was thereafter known as the Countess of Rosebery.",Success,None,None
959,Ramesses VI,Male,"Ramesses VI Nebmaatre-Meryamun (sometimes written Ramses or Rameses, also known under his princely name of Amenherkhepshef C[note 1]) was the fifth pharaoh of the Twentieth Dynasty of Egypt. He reigned for about eight years in the mid-to-late 12th century BC and was a son of Ramesses III and queen Iset Ta-Hemdjert. As a prince, he was known as Ramesses Amunherkhepeshef and held the titles of royal scribe and cavalry general. He was succeeded by his son, Ramesses VII Itamun, whom he had fathered with queen Nubkhesbed.",Success,None,None
960,Ranavalona I,Female,"Ranavalona I (born Rabodoandrianampoinimerina; 1778 – August 16, 1861), also known as Ramavo and Ranavalo-Manjaka I, was sovereign of the Kingdom of Madagascar from 1828 to 1861. After positioning herself as queen following the death of her young husband and second cousin, Radama I,[1] Ranavalona pursued a policy of isolationism and self-sufficiency, reducing economic and political ties with European powers, repelling a French attack on the coastal town of Foulpointe, and taking vigorous measures to eradicate the small but growing Malagasy Christian movement initiated under Radama I by members of the London Missionary Society. She made heavy use of the traditional practice of fanompoana (forced labor as tax payment) to complete public works projects and develop a standing army of between 20,000 and 30,000 Merina soldiers, whom she deployed to pacify outlying regions of the island and further expand the realm. The combination of regular warfare, disease, difficult forced labor and harsh measures of justice resulted in a high mortality rate among soldiers and civilians alike during her 33-year reign.",Success,None,None
961,Ranavalona III,Female,"Ranavalona III (November 22, 1861 – May 23, 1917) was the last sovereign of the Kingdom of Madagascar. She ruled from July 30, 1883 to February 28, 1897 in a reign marked by ongoing and ultimately futile efforts to resist the colonial designs of the government of France. As a young woman, she was selected from among several Andriana qualified to succeed Queen Ranavalona II upon her death. Like both preceding queens, Ranavalona entered a political marriage with a member of the Hova elite named Rainilaiarivony, who in his role as Prime Minister of Madagascar, largely oversaw the day-to-day governance of the kingdom and managed its foreign affairs. Ranavalona tried to stave off colonization by strengthening trade and diplomatic relations with the United States and Great Britain throughout her reign. French attacks on coastal port towns and an assault on the capital city of Antananarivo ultimately led to the capture of the royal palace in 1895, ending the sovereignty and political autonomy of the century-old kingdom.",Success,1861,1917
962,Rhys ap Gruffydd,Male,"Rhys ap Gruffydd or ap Gruffudd (often anglicised to ""Griffith""; 1132 – 28 April 1197) was the ruler of the kingdom of Deheubarth in south Wales from 1155 to 1197. Today, he is commonly known as The Lord Rhys, in Welsh Yr Arglwydd Rhys, although this title may have not been used in his lifetime.[2] He usually used the title ""Proprietary Prince of Deheubarth"" or ""Prince of South Wales"", but two documents have been discovered in which he uses the title ""Prince of Wales"" or ""Prince of the Welsh"".[3] Rhys was one of the most successful and powerful Welsh princes, and, after the death of Owain Gwynedd of Gwynedd in 1170, the dominant power in Wales.",Success,None,None
963,Richard II of England,Male,"""Richard II"" redirects here. For Shakespeare's play, see Richard II (play). For other uses, see Richard II (disambiguation).",Success,1367,1400
964,"William de Ros, 6th Baron Ros",Male,"  Arms of Sir William Ros, 6th Baron Ros, KG, from an original illustration of Ros's garter stall plate by William St John Hope:[1] Gules, three water bougets argent[2]",Success,None,None
965,Lady Saigō,Female,"Lady Saigō (西郷局 or 西郷の局 Saigō no Tsubone, 1552 – 1 July 1589), also known as Oai, was the first consort and trusted confidante of Tokugawa Ieyasu, the samurai lord who unified Japan at the end of the sixteenth century and then ruled as shōgun. She was also the mother of the second Tokugawa shōgun, Tokugawa Hidetada. Her contributions were considered so significant that she was posthumously inducted to the Senior First Rank of the Imperial Court, the highest honor that could be conferred by the Emperor of Japan.",Unknown,1552,1589
966,Salih ibn Mirdas,Male,"Abu Ali Salih ibn Mirdas (Arabic: ابو علي صالح بن مرداس‎, romanized: Abū ʿAlī Ṣāliḥ ibn Mirdās; died May 1029),[note 1] also known by his laqab (honorific epithet) Asad al-Dawla (""Lion of the State""), was the founder of the Mirdasid dynasty and emir of Aleppo from 1025 until his death. At its peak, his emirate (principality) encompassed much of the western Jazira (Upper Mesopotamia), northern Syria and a string of central Syrian towns. With occasional interruption, Salih's descendants ruled Aleppo for the next five decades.",Success,None,1029
967,Teresa Sampsonia,Female,"Teresa Sampsonia[a] (born Sampsonia; after marriage Lady Shirley, 1589–1668) was a noblewoman of the Safavid Empire of Iran. She was the wife of Elizabethan English adventurer Robert Shirley, whom she accompanied on his travels and embassies across Europe in the name of the Safavid King (Shah) Abbas the Great (r. 1588–1629).",Success,1589,None
968,Seleucus VI Epiphanes,Male,"Seleucus VI Epiphanes Nicator (Greek: Σέλευκος Ἐπιφανής Νικάτωρ; between 124 and 109 BC – 94 BC) was a Hellenistic Seleucid monarch who ruled Syria between 96 and 94 BC. He was the son of Antiochus VIII and his Egyptian wife Tryphaena. Seleucus VI lived in a period of civil war between his father and his uncle Antiochus IX, which ended in 96 BC when Antiochus VIII was assassinated. Antiochus IX then occupied the capital Antioch while Seleucus VI established his power-base in western Cilicia and himself prepared for war. In 95 BC, Antiochus IX marched against his nephew, but lost the battle and was killed. Seleucus VI became the master of the capital but had to share Syria with his brother Demetrius III, based in Damascus, and his cousin, Antiochus IX's son Antiochus X.",Success,None,None
969,Domenico Selvo,Male,"Domenico Selvo[1] (died 1087) was the 31st Doge of Venice, serving from 1071 to 1084.  During his reign as Doge, his domestic policies, the alliances that he forged, and the battles that the Venetian military won and lost laid the foundations for much of the subsequent foreign and domestic policy of the Republic of Venice. He avoided confrontations with the Byzantine Empire, the Holy Roman Empire, and the Roman Catholic Church at a time in European history when conflict threatened to upset the balance of power. At the same time, he forged new agreements with the major nations that would set up a long period of prosperity for the Republic of Venice. Through his military alliance with the Byzantine Empire, Emperor Alexios I Komnenos awarded Venice economic favors with the declaration of a Golden Bull that would allow for the development of the republic's international trade over the next few centuries.",Success,None,None
970,Shepseskare,Male,"Shepseskare or Shepseskara (Egyptian for ""Noble is the Soul of Ra"")[15] was an Ancient Egyptian pharaoh, the fourth or fifth ruler of the Fifth Dynasty (2494–2345 BC) during the Old Kingdom period. Shepseskare lived in the mid-25th century BC and was probably the owner of an unfinished pyramid in Abusir, which was abandoned after a few weeks of work in the earliest stages of its construction.",Success,None,None
971,Sheshi,Male,"Maaibre Sheshi (also Sheshy) was a ruler of areas of Egypt during the Second Intermediate Period. The dynasty, chronological position, duration and extent of his reign are uncertain and subject to ongoing debate. The difficulty of identification is mirrored by problems in determining events from the end of the Middle Kingdom to the arrival of the Hyksos in Egypt. Nonetheless, Sheshi is, in terms of the number of artifacts attributed to him, the best-attested king of the period spanning the end of the Middle Kingdom and the Second Intermediate period; roughly from c. 1800 BC until 1550 BC. Hundreds of scaraboid seals bearing his name have been found throughout Canaan, Egypt, Nubia, and as far away as Carthage, where some were still in use 1500 years after his death.",Success,None,None
972,Shunzhi Emperor,Male,"This article contains Manchu text. Without proper rendering support, you may see question marks, boxes, or other symbols instead of Manchu alphabet.",Success,1638,1661
973,Simeon I of Bulgaria,Male,"Tsar Simeon (also Symeon)[1] I the Great (Bulgarian: цар Симеон I Велики, transliterated Simeon I Veliki[2] [simɛˈɔn ˈpɤrvi vɛˈliki]) ruled over Bulgaria from 893 to 927,[3] during the First Bulgarian Empire. Simeon's successful campaigns against the Byzantines, Magyars and Serbs led Bulgaria to its greatest territorial expansion ever,[4] making it the most powerful state in contemporary Eastern and Southeast Europe.[5] His reign was also a period of unmatched cultural prosperity and enlightenment later deemed the Golden Age of Bulgarian culture.[6]",Success,None,None
974,"Siward, Earl of Northumbria",Male,"Siward (/ˈsuːwərd/ or more recently /ˈsiːwərd/[1]) or Sigurd (Old English: Sigeweard, Old Norse: Sigurðr digri[2])  was an important earl of 11th-century northern England. The Old Norse nickname Digri and its Latin translation Grossus (""the stout"") are given to him by near-contemporary texts.[3]  Siward was probably of Scandinavian origin, perhaps a relative of Earl Ulf, and emerged as a powerful regional strongman in England during the reign of Cnut (""Canute the Great"", 1016–1035). Cnut was a Scandinavian ruler who conquered England in the 1010s, and Siward was one of the many Scandinavians who came to England in the aftermath of that conquest. Siward subsequently rose to become sub-ruler of most of northern England. From 1033 at the latest Siward was in control of southern Northumbria, that is, present-day Yorkshire, governing as earl on Cnut's behalf.",Success,None,None
975,"Humphrey Stafford, 1st Duke of Buckingham",Male,"For other people with similar names, see 1st Duke of Buckingham (disambiguation) and Humphrey Stafford (disambiguation).",Success,None,None
976,Stephen I of Hungary,Male,"""Stephen of Hungary"" redirects here. For other people of the same name, see Stephen of Hungary (disambiguation).",Success,1038,1038
977,"Stephen, King of England",Male,"Stephen (1092/6 – 25 October 1154), often referred to as Stephen of Blois, was King of England from 22 December 1135 to his death. He was Count of Boulogne from 1125 until 1147 and Duke of Normandy from 1135 until 1144. His reign was marked by the Anarchy, a civil war with his cousin and rival, the Empress Matilda, whose son, Henry II, succeeded Stephen as the first of the Angevin kings of England.",Success,None,None
978,"Charlotte Stuart, Duchess of Albany",Female,"Charlotte Stuart, styled Duchess of Albany[1] (29 October 1753 – 17 November 1789) was the illegitimate daughter of the Jacobite pretender Prince Charles Edward Stuart ('Bonnie Prince Charlie' or the 'Young Pretender') and his only child to survive infancy.",Success,None,None
979,Sviatoslav I of Kiev,Male,"Sviatoslav I Igorevich (Old East Slavic: С~тославъ / Свѧтославъ[1] Игорєвичь, Sventoslavŭ / Svantoslavŭ Igorevičǐ; 943 – 26 March 972), also spelled Svyatoslav was a Grand Prince of Kiev[2][3] famous for his persistent campaigns in the east and south, which precipitated the collapse of two great powers of Eastern Europe, Khazaria and the First Bulgarian Empire. He also conquered numerous East Slavic tribes, defeated the Alans and attacked the Volga Bulgars,[4][5] and at times was allied with the Pechenegs and Magyars.",Success,None,None
980,Teresa Cristina of the Two Sicilies,Female,"Dona Teresa Cristina (14 March 1822 – 28 December 1889), nicknamed ""the Mother of the Brazilians"",[2] was the Empress consort of Emperor Dom Pedro II of Brazil, who reigned from 1831 to 1889. Born a Princess of the Kingdom of the Two Sicilies in present-day southern Italy, she was the daughter of King Don Francesco I (Francis I) of the Italian branch of the House of Bourbon and his wife Maria Isabel (Maria Isabella). It was long believed by historians that the Princess was raised in an ultra-conservative, intolerant atmosphere which resulted in a timid and unassertive character in public and an ability to be contented with very little materially or emotionally. Recent studies revealed a more complex character, who despite having respected the social norms of the era, was able to assert a limited independence due to her strongly opinionated personality as well as her interest in learning, sciences and culture.",Success,1822,None
981,Tiridates I of Armenia,Male,"Tiridates I (Armenian: Տրդատ Ա, Trdat A; Parthian: 𐭕𐭉𐭓𐭉𐭃𐭕, Tīridāt; Greek: Τιριδάτης, Tiridátes) was King of Armenia beginning in 53 AD and the founder of the Arsacid dynasty of Armenia. The dates of his birth and death are unknown. His early reign was marked by a brief interruption towards the end of the year 54 and a much longer one from 58 to 63 AD. In an agreement to resolve the Roman–Parthian conflict in and over Armenia, Tiridates I (one of the brothers of Vologases I of Parthia) was crowned king of Armenia by the Roman emperor Nero in 66 AD; in the future, the king of Armenia was to be a Parthian prince, but his appointment required approval from the Romans. Even though this made Armenia a client kingdom, various contemporary Roman sources thought that Nero had de facto ceded Armenia to the Parthian Empire.[6]",Success,None,None
